requests	concurrent	min	mean	[+/-sd]	median	max
500	10	1	111	107.8	104	506
500	50	1	113	101.2	105	609
500	100	1	117	100.7	113	509
1000	10	1	105	109.3	104	690
1000	50	1	109	101.2	105	608
1000	100	23	186	99.3	182	662
4000	10	0	103	102.4	105	605
4000	50	1	109	185.2	104	7100
4000	100	1	177	416.8	119	11747
