algorithm	requests	concurrent	min	mean	[+/-sd]	median	max
control		500		10		0	106	102.3	102	607
control		500		50		1	107	101.8	103	430
control		500		100		1	111	100.9	104	549
control		1000		10		1	109	114.4	103	736
control		1000		50		1	111	113.5	103	603
control		1000		100		1	184	198.1	120	1088
control		4000		10		1	107	123.6	103	1351
control		4000		50		1	108	103.0	103	613
control		4000		100		1	164	205.1	118	3186

round_robin	500		10		1	103	104.3	103	602
round_robin	500		50		1	105	100.9	104	507
round_robin	500		100		1	119	103.8	107	509
round_robin	1000		10		1	107	104.0	104	541
round_robin	1000		50		1	106	98.3	104	506
round_robin	1000		100		7	145	103.1	135	587
round_robin	4000		10		1	106	102.5	105	607
round_robin	4000		50		1	245	742.1	111	7187
round_robin	4000		100		1	194	559.5	108	14004

least_conn	500		10		1	111	107.8	104	506
least_conn	500		50		1	113	101.2	105	609
least_conn	500		100		1	117	100.7	113	509
least_conn	1000		10		1	105	109.3	104	690
least_conn	1000		50		1	109	101.2	105	608
least_conn	1000		100		23	186	99.3	182	662
least_conn	4000		10		0	103	102.4	105	605
least_conn	4000		50		1	109	185.2	104	7100
least_conn	4000		100		1	177	416.8	119	11747

random		500		10		1	108	97.8	104	408
random		500		50		1	105	104.8	103	516
random		500		100		1	116	97.6	107	553
random		1000		10		1	104	102.3	104	506
random		1000		50		1	108	105.7	104	807
random		1000		100		2	175	225.9	134	2220
random		4000		10		1	106	103.8	104	707
random		4000		50		1	187	321.4	118	3047
random		4000		100		1	212	559.0	132	13673

two_choices	500		10		1	98	101.5	103	506
two_choices	500		50		1	106	100.3	105	428
two_choices	500		100		1	125	100.7	109	518
two_choices	1000		10		1	103	104.3	103	602
two_choices	1000		50		1	105	103.6	105	605
two_choices	1000		100		9	145	104.6	136	584
two_choices	4000		10		0	101	100.6	104	603
two_choices	4000		50		1	146	257.6	106	4473
two_choices	4000		100		1	187	334.4	115	3340

