requests	concurrent	min	mean	[+/-sd]	median	max
500	10	1	108	97.8	104	408
500	50	1	105	104.8	103	516
500	100	1	116	97.6	107	553
1000	10	1	104	102.3	104	506
1000	50	1	108	105.7	104	807
1000	100	2	175	225.9	134	2220
4000	10	1	106	103.8	104	707
4000	50	1	187	321.4	118	3047
4000	100	1	212	559.0	132	13673
