requests	concurrent	min	mean	[+/-sd]	median	max
500	10	1	103	104.3	103	602
500	50	1	105	100.9	104	507
500	100	1	119	103.8	107	509
1000	10	1	107	104.0	104	541
1000	50	1	106	98.3	104	506
1000	100	7	145	103.1	135	587
4000	10	1	106	102.5	105	607
4000	50	1	245	742.1	111	7187
4000	100	1	194	559.5	108	14004
