requests	concurrent	min	mean	[+/-sd]	median	max
500	10	1	102	98.4	104	608
500	50	1	116	102.6	105	571
500	100	4	155	119.2	131	593
1000	10	1	102	103.0	103	607
1000	50	1	109	100.7	105	540
1000	100	20	172	105.7	160	577
4000	10	1	101	99.5	103	606
4000	50	1	137	609.9	104	13674
4000	100	1	147	339.5	106	5792
