requests	concurrent	min	mean	[+/-sd]	median	max
500	10	0	106	102.3	102	607
500	50	1	107	101.8	103	430
500	100	1	111	100.9	104	549
1000	10	1	109	114.4	103	736
1000	50	1	111	113.5	103	603
1000	100	1	184	198.1	120	1088
4000	10	1	107	123.6	103	1351
4000	50	1	108	103.0	103	613
4000	100	1	164	205.1	118	3186
