requests	concurrent	min	mean	[+/-sd]	median	max
500	10	1	98	101.5	103	506
500	50	1	106	100.3	105	428
500	100	1	125	100.7	109	518
1000	10	1	103	104.3	103	602
1000	50	1	105	103.6	105	605
1000	100	9	145	104.6	136	584
4000	10	0	101	100.6	104	603
4000	50	1	146	257.6	106	4473
4000	100	1	187	334.4	115	3340
