requests	concurrent	min	mean	[+/-sd]	median	max
500	10	1	115	104.9	107	503
500	50	1	103	96.6	104	512
500	100	34	360	136.3	335	892
1000	10	1	103	100.9	103	508
1000	50	1	108	98.6	104	507
1000	100	3	143	96.4	139	457
4000	10	0	102	100.2	103	708
4000	50	1	104	101.0	104	619
4000	100	1	167	811.9	105	13681
