requests	concurrent	min	mean	[+/-sd]	median	max
500	10	1	109	97.5	102	509
500	50	1	118	102.7	105	530
500	100	1	116	102.9	105	458
1000	10	1	104	99.7	103	502
1000	50	1	112	114.0	104	596
1000	100	2	196	200.8	136	1121
4000	10	0	107	123.4	103	1614
4000	50	1	103	99.8	103	641
4000	100	1	124	279.7	105	5374
