requests	concurrent	min	mean	[+/-sd]	median	max
500	10	1	99	95.7	102	504
500	50	1	104	102.1	103	507
500	100	1	172	140.4	134	826
1000	10	1	117	128.5	105	969
1000	50	1	113	98.9	105	490
1000	100	10	144	98.1	140	527
4000	10	1	103	99.5	103	607
4000	50	1	121	176.0	105	2464
4000	100	1	183	885.4	107	13809
